symbol,chain_id,direction,entry,stop_loss,tp1,rr,status,pnl_r,signal_time,entry_time,exit_time,exit_price,bars_in_trade
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CANCELLED,0.0,2025-11-17 20:00,,2025-11-18 08:45,,0
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CANCELLED,0.0,2025-11-17 21:30,,2025-11-18 10:15,,0
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CLOSED_TP,2.21,2025-11-18 08:45,2025-11-18 14:30,2025-11-18 16:30,3161.2200000000003,9
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CLOSED_TP,2.21,2025-11-18 10:15,2025-11-18 14:30,2025-11-18 16:30,3161.2200000000003,9
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CANCELLED,0.0,2025-11-18 16:30,,2025-11-18 18:45,,0
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CANCELLED,0.0,2025-11-18 17:30,,2025-11-18 18:45,,0
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CLOSED_SL,-1.0,2025-11-18 20:00,2025-11-19 03:30,2025-11-19 05:30,3013.75382,9
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CLOSED_SL,-1.0,2025-11-18 22:30,2025-11-19 03:30,2025-11-19 05:30,3013.75382,9
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CLOSED_SL,-1.0,2025-11-19 05:30,2025-11-19 07:45,2025-11-19 15:30,3013.75382,32
ETH/USDT,Signal_1,LONG,3075.259,3013.75382,3161.2200000000003,2.21,CLOSED_SL,-1.0,2025-11-19 06:00,2025-11-19 07:45,2025-11-19 15:30,3013.75382,32
ETH/USDT,2.6,LONG,3030.4049999999997,2998.2754285714286,3043.015,2.05,CANCELLED,0.0,2025-11-20 02:00,,2025-11-20 02:15,,0
ETH/USDT,2.6,LONG,3030.4049999999997,2999.953071428571,3043.015,2.16,CLOSED_TP,2.16,2025-11-20 04:30,2025-11-20 04:45,2025-11-20 04:45,3043.015,1
ETH/USDT,2.6,LONG,3030.4049999999997,2997.4549285714284,3096.135,5.18,CLOSED_SL,-1.0,2025-11-20 00:30,2025-11-20 00:45,2025-11-20 09:45,2997.4549285714284,37
ETH/USDT,Signal_1,LONG,2935.3362,2876.629476,3026.775,1.98,CANCELLED,0.0,2025-11-20 12:00,,2025-11-20 12:30,,0
ETH/USDT,2.6,SHORT,2935.5699999999997,2986.2875,2880.3324999999995,2.18,CANCELLED,0.0,2025-11-20 16:15,,2025-11-20 16:30,,0
ETH/USDT,Signal_1,LONG,2935.3362,2876.629476,3026.775,1.98,CLOSED_SL,-1.0,2025-11-20 14:30,2025-11-20 16:00,2025-11-20 16:30,2876.629476,3
ETH/USDT,Signal_1,LONG,2935.3362,2876.629476,2977.5950000000003,1.56,CANCELLED,0.0,2025-11-20 17:00,,2025-11-21 05:45,,0
ETH/USDT,Signal_1,LONG,2935.3362,2876.629476,2977.5950000000003,1.56,CANCELLED,0.0,2025-11-20 19:30,,2025-11-21 08:15,,0
ETH/USDT,2.6,LONG,2757.9449999999997,2719.3015,2778.38,2.09,CLOSED_SL,-1.0,2025-11-21 20:30,2025-11-21 21:15,2025-11-21 23:00,2719.3015,8
ETH/USDT,2.6,LONG,2757.9449999999997,2706.988571428571,2778.38,1.59,CLOSED_TP,1.59,2025-11-21 20:00,2025-11-21 21:15,2025-11-22 00:00,2778.38,12
ETH/USDT,Signal_1,LONG,2698.4492,2644.480216,2929.16,5.17,CANCELLED,0.0,2025-11-22 16:00,,2025-11-23 04:45,,0
ETH/USDT,Signal_1,LONG,2698.4492,2644.480216,2929.16,5.17,CANCELLED,0.0,2025-11-22 16:30,,2025-11-23 05:15,,0
ETH/USDT,Signal_1,LONG,2736.4956,2681.7656880000004,2929.16,4.41,CANCELLED,0.0,2025-11-23 04:45,,2025-11-23 17:30,,0
ETH/USDT,Signal_1,LONG,2736.4956,2681.7656880000004,2929.16,4.41,CANCELLED,0.0,2025-11-23 05:15,,2025-11-23 18:00,,0
ETH/USDT,Signal_1,LONG,2817.5432,2761.192336,2929.16,2.84,CLOSED_TP,2.84,2025-11-24 00:00,2025-11-24 02:00,2025-11-24 17:30,2929.16,63
ETH/USDT,Signal_1,LONG,2817.5432,2761.192336,2929.16,2.84,CLOSED_TP,2.84,2025-11-24 01:00,2025-11-24 02:00,2025-11-24 17:30,2929.16,63
ETH/USDT,2.6,LONG,2939.24,2903.0317857142854,2967.681071428571,1.57,CANCELLED,0.0,2025-11-25 22:45,,2025-11-25 23:00,,0
ETH/USDT,2.6,LONG,2939.24,2903.254857142857,2966.565714285714,1.52,CANCELLED,0.0,2025-11-26 00:30,,2025-11-26 01:30,,0
ETH/USDT,2.6,LONG,3062.45,3031.1065,3088.1674999999996,1.64,CANCELLED,0.0,2025-11-28 15:00,,2025-11-28 15:30,,0
ETH/USDT,2.6,LONG,3062.45,3031.3295714285714,3087.052142857143,1.58,CLOSED_TP,1.58,2025-11-28 14:30,2025-11-28 14:45,2025-11-28 15:30,3087.052142857143,4
ETH/USDT,Signal_1,LONG,3005.6227999999996,2970.238285714286,3083.331371428571,4.39,CANCELLED,0.0,2025-11-28 16:00,,2025-11-29 04:45,,0
ETH/USDT,Signal_1,LONG,3005.6227999999996,2970.238285714286,3083.331371428571,4.39,CANCELLED,0.0,2025-11-28 17:30,,2025-11-29 06:15,,0
ETH/USDT,Signal_1,LONG,3005.6227999999996,2971.9054285714287,3074.9956571428565,4.11,CLOSED_SL,-1.0,2025-11-29 04:45,2025-11-29 06:30,2025-11-29 17:45,2971.9054285714287,46
ETH/USDT,Signal_1,LONG,3005.6227999999996,2971.9054285714287,3074.9956571428565,4.11,CLOSED_SL,-1.0,2025-11-29 06:15,2025-11-29 06:30,2025-11-29 17:45,2971.9054285714287,46
ETH/USDT,Signal_1,LONG,3005.6227999999996,2972.501785714286,3072.013871428571,4.01,OPEN,0.0,2025-11-29 17:45,2025-11-30 01:00,2025-11-30 22:00,,85
ETH/USDT,Signal_1,LONG,3005.6227999999996,2972.501785714286,3072.013871428571,4.01,OPEN,0.0,2025-11-29 18:30,2025-11-30 01:00,2025-11-30 22:00,,85
SOL/USDT,2.6,LONG,161.785,159.54414285714284,165.875,2.54,CLOSED_SL,-1.0,2025-11-04 14:45,2025-11-04 15:45,2025-11-04 16:30,159.54414285714284,4
SOL/USDT,Signal_1,LONG,156.44740000000002,153.318452,162.215,2.16,CANCELLED,0.0,2025-11-06 04:00,,2025-11-06 04:15,,0
SOL/USDT,Signal_1,LONG,156.44740000000002,153.318452,162.215,2.16,CLOSED_SL,-1.0,2025-11-06 05:30,2025-11-06 15:30,2025-11-07 11:00,153.318452,79
SOL/USDT,Signal_1,LONG,156.44740000000002,153.318452,162.64,2.16,CLOSED_SL,-1.0,2025-11-06 08:00,2025-11-06 15:30,2025-11-07 11:00,153.318452,79
SOL/USDT,Signal_1,LONG,156.44740000000002,153.318452,163.215,4.97,CLOSED_TP,4.97,2025-11-07 11:00,2025-11-07 16:15,2025-11-07 19:15,163.215,13
SOL/USDT,Signal_1,LONG,156.44740000000002,153.318452,163.215,4.97,CLOSED_TP,4.97,2025-11-07 11:30,2025-11-07 16:15,2025-11-07 19:15,163.215,13
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-08 12:00,,2025-11-08 12:15,,0
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-08 12:30,,2025-11-08 12:45,,0
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-08 15:00,,2025-11-08 17:45,,0
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-08 17:30,,2025-11-08 17:45,,0
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-08 20:00,,2025-11-08 20:15,,0
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-08 22:30,,2025-11-08 22:45,,0
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CANCELLED,0.0,2025-11-09 01:00,,2025-11-09 01:15,,0
